# V. 21 Août 1902

|  Hauteur | Nég. O. (terre)  |
# V. 43 Août 1914

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 44 Août 1915

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 45 Août 1916

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 46 Août 1917

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 47 Août 1918

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 48 Août 1919

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 49 Août 1920

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 50 Août 1921

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 51 Août 1922

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 52 Août 1923

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 53 Août 1924

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 54 Août 1925

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 55 Août 1926

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 56 Août 1927

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 57 Août 1928

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 58 Août 1929

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 59 Août 1927

|  Hauteur | Nég. O. (terre)  |
| --- | --- |
|  207,1 | 207,1  |
|  or. or. o | or. or. o  |
|  2 hign. 2 | 2 hign. 2  |
|  8 | 8  |
|  or. or. o | or. or. o  |
|  23.0 | 23.0  |
|  47,6 | 47,6  |
|  1 fort | 1 fort  |
|  1029,1 | 1029,1  |
|  21,7 | 21,7  |

# V. 51 Août 1928

|  Hauteur | Nég. O. (terre)  |
