# Variation Qu niveau 9c la mer a 23 Septembre 1900 (Suite) (Jur. 3c la minille lune)

|  Heures | Hauteur | Heures | Hauteur | Heures | Hauteur | Heures | Hauteur | Heures | Hauteur  |
|  5h00 m. | 0,309 | 10h16 m. | 0,312 | 10h58 m. | 0,313 | 11h58 m. | 0,296 | 13h22 m. | 0,304 |
|  5h02 m. | 0,311 | 10h18 m. | 0,313 | 11h00 m. | 0,313 | 12h00 m. | 0,303 | 13h24 m. | 0,302 |
|  5h04 m. | 0,311 | 10h20 m. | 0,313 | 11h02 m. | 0,312 | 12h02 m. | 0,302 | 13h26 m. | 0,298 |
|  5h06 m. | 0,312 | 10h22 m. | 0,312 | 11h04 m. | 0,311 | 12h04 m. | 0,296 | 13h28 m. | 0,295 |
|  5h08 m. | 0,312 | 10h24 m. | 0,311 | 11h06 m. | 0,31 | 12h06 m. | 0,289 | 13h30 m. | 0,29 |
|  5h10 m. | 0,312 | 10h26 m. | 0,311 | 11h08 m. | 0,309 | 12h08 m. | 0,286 | 13h32 m. | 0,287 |
|  5h12 m. | 0,312 | 10h28 m. | 0,311 | 11h10 m. | 0,308 | 12h10 m. | 0,285 | 13h34 m. | 0,285 |
|  5h14 m. | 0,312 | 10h30 m. | 0,311 | 11h12 m. | 0,308 | 12h12 m. | 0,285 | 13h36 m. | 0,285 |
|  5h16 m. | 0,313 | 10h32 m. | 0,311 | 11h14 m. | 0,308 | 12h14 m. | 0,286 | 13h38 m. | 0,287 |
|  5h18 m. | 0,313 | 10h34 m. | 0,311 | 11h16 m. | 0,309 | 12h16 m. | 0,289 | 13h40 m. | 0,29 |
|  5h20 m. | 0,314 | 10h36 m. | 0,311 | 11h18 m. | 0,31 | 12h18 m. | 0,291 | 13h42 m. | 0,292 |
|  5h22 m. | 0,314 | 10h38 m. | 0,311 | 11h20 m. | 0,311 | 12h20 m. | 0,293 | 13h44 m. | 0,293 |
|  5h24 m. | 0,314 | 10h40 m. | 0,311 | 11h22 m. | 0,312 | 12h22 m. | 0,295 | 13h46 m. | 0,295 |
|  5h26 m. | 0,314 | 10h42 m. | 0,311 | 11h24 m. | 0,313 | 12h24 m. | 0,298 | 13h48 m. | 0,297 |
|  5h28 m. | 0,314 | 10h44 m. | 0,311 | 11h26 m. | 0,314 | 12h26 m. | 0,30 | 13h50 m. | 0,30 |
|  5h30 m. | 0,314 | 10h46 m. | 0,311 | 11h28 m. | 0,314 | 12h28 m. | 0,302 | 13h52 m. | 0,302 |
|  5h32 m. | 0,314 | 10h48 m. | 0,311 | 11h30 m. | 0,314 | 12h30 m. | 0,305 | 13h54 m. | 0,305 |
|  5h34 m. | 0,314 | 10h50 m. | 0,311 | 11h32 m. | 0,314 | 12h32 m. | 0,308 | 13h56 m. | 0,308 |
|  5h36 m. | 0,314 | 10h52 m. | 0,311 | 11h34 m. | 0,314 | 12h34 m. | 0,31 | 13h58 m. | 0,31 |
|  5h38 m. | 0,314 | 10h54 m. | 0,311 | 11h36 m. | 0,314 | 12h36 m. | 0,312 | 14h00 m. | 0,312 |
|  5h40 m. | 0,314 | 10h56 m. | 0,311 | 11h38 m. | 0,314 | 12h38 m. | 0,313 | 14h02 m. | 0,313 |
|  5h42 m. | 0,314 | 10h58 m. | 0,311 | 11h40 m. | 0,314 | 12h40 m. | 0,315 | 14h04 m. | 0,314 |
|  5h44 m. | 0,314 | 11h00 m. | 0,313 | 11h42 m. | 0,314 | 12h42 m. | 0,316 | 14h06 m. | 0,315 |
|  5h46 m. | 0,314 | 11h02 m. | 0,314 | 11h44 m. | 0,314 | 12h44 m. | 0,317 | 14h08 m. | 0,315 |
|  5h48 m. | 0,314 | 11h04 m. | 0,315 | 11h46 m. | 0,314 | 12h46 m. | 0,318 | 14h10 m. | 0,315 |
|  5h50 m. | 0,315 | 11h06 m. | 0,316 | 11h48 m. | 0,314 | 12h48 m. | 0,319 | 14h12 m. | 0,315 |
|  5h52 m. | 0,315 | 11h08 m. | 0,317 | 11h50 m. | 0,314 | 12h50 m. | 0,319 | 14h14 m. | 0,315 |
|  5h54 m. | 0,315 | 11h10 m. | 0,318 | 11h52 m. | 0,314 | 12h52 m. | 0,32 | 14h16 m. | 0,315 |
|  5h56 m. | 0,315 | 11h12 m. | 0,319 | 11h54 m. | 0,314 | 12h54 m. | 0,321 | 14h18 m. | 0,315 |
|  5h58 m. | 0,315 | 11h14 m. | 0,32 | 11h56 m. | 0,314 | 12h56 m. | 0,321 | 14h20 m. | 0,315 |
|  6h00 m. | 0,315 | 11h16 m. | 0,321 | 11h58 m. | 0,314 | 12h58 m. | 0,322 | 14h22 m. | 0,315 |
|  6h02 m. | 0,315 | 11h18 m. | 0,322 | 12h00 m. | 0,314 | 13h00 m. | 0,323 | 14h24 m. | 0,315 |
|  6h04 m. | 0,315 | 11h20 m. | 0,323 | 12h02 m. | 0,314 | 13h02 m. | 0,324 |
