```
Journal Météorologique du Navire "La Belle Poule"
Période : 1er au 31 Octobre 1820

Date       | Heure | Vent   | Température | Pression | État du Temps | Remarques
           | 12h   | N      | 68°C        | 821 mm   | Clair         | 
           | 18h   | NNW    | 69°C        | 822 mm   | Clair         | 
22 Oct.    | 06h   | NW     | 70°C        | 823 mm   | Clair         | 
           | 12h   | WNW    | 71°C        | 824 mm   | Clair         | 
           | 18h   | W      | 72°C        | 825 mm   | Clair         | 
23 Oct.    | 06h   | SW     | 73°C        | 826 mm   | Clair         | 
           | 12h   | SSW    | 74°C        | 827 mm   | Clair         | 
           | 18h   | S      | 75°C        | 828 mm   | Clair         | 
24 Oct.    | 06h   | SSE    | 76°C        | 829 mm   | Clair         | 
           | 12h   | SE     | 77°C        | 830 mm   | Clair         | 
           | 18h   | ESE    | 78°C        | 831 mm   | Clair         | 
25 Oct.    | 06h   | E      | 79°C        | 832 mm   | Clair         | 
           | 12h   | ENE    | 80°C        | 833 mm   | Clair         | 
           | 18h   | NE     | 81°C        | 834 mm   | Clair         | 
26 Oct.    | 06h   | NNE    | 82°C        | 835 mm   | Clair         | 
           | 12h   | N      | 83°C        | 836 mm   | Clair         | 
           | 18h   | NNW    | 84°C        | 837 mm   | Clair         | 
27 Oct.    | 06h   | NW     | 85°C        | 838 mm   | Clair         | 
           | 12h   | WNW    | 86°C        | 839 mm   | Clair         | 
           | 18h   | W      | 87°C        | 840 mm   | Clair         | 
28 Oct.    | 06h   | SW     | 88°C        | 841 mm   | Clair         | 
           | 12h   | SSW    | 89°C        | 842 mm   | Clair         | 
           | 18h   | S      | 90°C        | 843 mm   | Clair         | 
29 Oct.    | 06h   | SSE    | 91°C        | 844 mm   | Clair         | 
           | 12h   | SE     | 92°C        | 845 mm   | Clair         | 
           | 18h   | ESE    | 93°C        | 846 mm   | Clair         | 
30 Oct.    | 06h   | E      | 94°C        | 847 mm   | Clair         | 
           | 12h   | ENE    | 95°C        | 848 mm   | Clair         | 
           | 18h   | NE     | 96°C        | 849 mm   | Clair         | 
31 Oct.    | 06h   | NNE    | 97°C        | 850 mm   | Clair         | 
           | 12h   | N      | 98°C        | 851 mm   | Clair         | 
           | 18h   | NNW    | 99°C        | 852 mm   | Clair         | 

Note Marginale : Le navire a rencontré des vents forts et des vagues importantes le 15 Octobre.
```
